city,notes,endpoint
Chengdu,w half,https://annotations.allmaps.org/maps/493637a155443cd2
Chengdu,e half,https://annotations.allmaps.org/maps/b4d3de34f5ad8f35
Chengdu,ancient,https://annotations.allmaps.org/maps/2be3ce18c40da0c2
Chengdu,,https://annotations.allmaps.org/maps/d9fd931c425aa223
Chengdu,1989,https://annotations.allmaps.org/maps/9f94ff36380b1147
Chengdu,1974. 1:10k,https://annotations.allmaps.org/maps/b5c9b29c5f18cbd0
Harbin,,https://annotations.allmaps.org/maps/a7f90477efaeaa78
Harbin,,https://annotations.allmaps.org/maps/981047d1a8003af4
Hotan,,
Huangshan,,
Hunchun,,
Jinan,,
Jining,,
Kashgar,,
Korla,,
Kunming,,
Lanzhou,,
Lianyungang,,
Liaocheng,,
Liaoyuan,,
Luzhou,,
Nanchang,,
Panjin,,
Shenzhen,,
Shijiazhuang,,
Taishan,,
Taizhou,,
Tieling,,
Ulanqab,,
Urumqi,,
Weihai,,
Wuhan,,
Wuhu,,
Wuwei,,
Xiamen,,
Xi'an,,
Yangzhou,,
Yichang,,
Zhangjiajie,,
Zhengzhou,,
Zhuhai,,
Zibo,,
