city,collection,title,manifest_url
Haikou,Internet Archive,"Haikou Quantu 海口全圖 [Complete Map of Sea Ports]. Wanguo tu & Wukou Yanhai Shuilu Quantu 萬國圖 & 五口沿海水路全圖 [Map of 10,000 Countries & Complete Map of the Five Coastal Estuaries].",https://iiif.archivelab.org/iiif/dr_haikou-quantu--complete-map-of-sea-ports-wanguo-tu--wukou-yanhai-sh-15039003/manifest.json
Haikou,Bibliothèque nationale de France (BnF) / Gallica,"Hoihow, Haïnan island. Plan of Tô-Shông-Sha and surroundings / by Mr T.J. Eldridge, commanding R.S. ""Kaï Pan"", October 1898",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53195588s/manifest.json
Haikou,David Rumsey Map Collection,Haikou Quantu 海口全圖 [Complete Map of Sea Ports].,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~340644~90108896/manifest
Haikou,David Rumsey Map Collection,Covers: Haikou Quantu 海口全圖 [Complete Map of Sea Ports].,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~340642~90108895/manifest
Haikou,David Rumsey Map Collection,Title: Haikou Quantu 海口全圖 [Complete Map of Sea Ports].,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~340643~90108894/manifest
Haikou,David Rumsey Map Collection,Carte Réduite De La Parte Méridionale De L’Île D’Hainan,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~372139~90138877/manifest
Harbin,David Rumsey Map Collection,Likvidatsiia Kolchaka i ego posledyshei [i.e. Liquidation of Kolchak and His Followers],https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~340595~90108846/manifest
Harbin,Internet Archive,"THE LITTLE KNOWN AND NEW PLANTS FROM GREATER KHINGAN MOUNTAINS,CHINA",https://iiif.archivelab.org/iiif/bulletin-botanical-research-harbin-6-157-159/manifest.json
Harbin,Bibliothèque nationale de France (BnF) / Gallica,"Mandchourie et Corée, de Kharbine à Séoul, de Port-Arthur à Vladivostok. Traduction de la carte d'Etat-major russe",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530606563/manifest.json
Harbin,Digital Commonwealth,,https://www.digitalcommonwealth.org/search/commonwealth:6d570k12t/manifest
Harbin,Digital Commonwealth,,https://www.digitalcommonwealth.org/search/commonwealth:vm417462p/manifest
Harbin,Digital Commonwealth,,https://www.digitalcommonwealth.org/search/commonwealth:6d570k133/manifest
Harbin,Digital Commonwealth,,https://www.digitalcommonwealth.org/search/commonwealth:bz60d109n/manifest
Harbin,David Rumsey Map Collection,Map of China. Compiled by John A. Diakoff,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~286313~90059011/manifest
Harbin,David Rumsey Map Collection,Cleaning Up In Manchuria. Stokes.,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~292126~90063945/manifest
Harbin,David Rumsey Map Collection,"Carte de L'Asie, D'apres les meilleurs materiaux. Bruxelles Etablissement Géographique. Fondé par Ph. Vandermaelen.",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~383175~90149066/manifest
Harbin,David Rumsey Map Collection,"Covers: Carte de L'Asie, D'apres les meilleurs materiaux. Bruxelles Etablissement Géographique. Fondé par Ph. Vandermaelen.",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~383174~90149064/manifest
Harbin,David Rumsey Map Collection,"View: Lake County California, The Switzerland of America. Map: Lake County.",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~248495~5515933/manifest
Harbin,David Rumsey Map Collection,Northeast China,https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~267097~90041628/manifest
Harbin,David Rumsey Map Collection,"Covers: Podróż koleją Syberyjską na Daleki Wschód, z ilustracjami [i.e. A Travel by the Siberian Railway to the Far East, with Illustrations].",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~359545~90126346/manifest
Harbin,David Rumsey Map Collection,"Title: Podróż koleją Syberyjską na Daleki Wschód, z ilustracjami [i.e. A Travel by the Siberian Railway to the Far East, with Illustrations].",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~359546~90126347/manifest
Harbin,David Rumsey Map Collection,"Covers: Podróż koleją Syberyjską na Daleki Wschód, z ilustracjami [i.e. A Travel by the Siberian Railway to the Far East, with Illustrations].",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~359549~90126350/manifest
Harbin,David Rumsey Map Collection,"(View to) Podróż koleją Syberyjską na Daleki Wschód, z ilustracjami [i.e. A Travel by the Siberian Railway to the Far East, with Illustrations].",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~359548~90126349/manifest
Heyuan,Bibliothèque nationale de France (BnF) / Gallica,"Institutions géographiques, ou Description générale du globe terrestre,... suivi d'un Atlas élémentaire composé de 31 cartes, lequel comprend la carte générale de la France Ancienne & de la Nouvelle... A l'usage du jeune républicain ([1ère éd.]) / Par le Cit[oyen] Lamarche, Géographe, Successeur de Robert de Vaugondy & de Fortin, Ingénieur-Mécanicien pour les Globes & Sphères",https://gallica.bnf.fr/iiif/ark:/12148/btv1b532488301/manifest.json
Heyuan,Bibliothèque nationale de France (BnF) / Gallica,La geographie universelle qui fait voir l'estat présent des 4 parties du monde c'est à dire les religions les coutumes & les richesses des peuples les forces & les gouvernements des estats Ce qui est de plus beau & de plus rare dans chaque region & autres particularités pour sçavoir l'histoire & I'interest des princes. On y a joint le traité du globe Par P. Du-Val geographe ordinaire du Roy. Premiere partie,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8726671v/manifest.json
Heyuan,Bibliothèque nationale de France (BnF) / Gallica,"La Cosmographie universelle de tout le monde en laquelle, suivant les auteurs plus dignes de foy, sont au vray descriptes toutes les parties habitables & non habitables de la terre et de la mer, leurs assiettes & choses qu'elles produisent: puis la description & peincture topographique des régions, la différence de l'air de chacun pays d'où advient la diversité tant de la complexion des hommes que des figures des bestes brutes. Et encor l'origine, noms ou appellations tant modernes qu'anciennes & description de plusieurs villes, citez & isles avec leurs plantz & pourtraictz & sur tout de la France, non encor iusques à present veus ny imprimez. S'y voyent aussi d'avantage, les origines, accroissemens & changemens des monarchies, empires, royaumes, estatz & republiques: ensemble les moeurs, façons de vivre, loix, coustumes, & religion de tous les peuples & natio[n]s du monde: & la succession des papes, cardinaux, archevesques & evesques, chacun en leur diocese, tant anciens que modernes: Avec plusieurs autres choses, le sommaire desquelles se void en la page suivante auteur en partie Munster, mais beaucoup plus augmentée, ornée & enrichie par François de Belle-Forest, Comingeois, tant de ses recerches [sic], comme de l'aide de plusieurs memoires envoyez de diverses villes de France, par hommes amateurs de l'histoire & de leur patrie Avec trois tables, l'une des plantz & pourtraicts des isles et des villes. La seconde, des tiltres & chapitres. Et la troisiesme, de tous les noms propres & des matières co[m]prises en tout l'oeuvre. Tome 1",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1505502g/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,Map of part of Abyssinia from sketches made by the quarter master general's department oo the British expedition,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84432728/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"VIIe Congrès international de Navigation. Guide-Programme, Plans",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k10924457/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,"Exposition coloniale internationale. Paris 1931. Indochine française. Section des sciences. Service météorologique. Atlas / publié sous la direction de E. Bruzon... ; dessiné, héliogravé et imprimé par le Service géographique de l'Indochine",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9633253v/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,Atlas de statistique agricole : résultats généraux des statistiques agricoles décennales de 1882 et de 1892 / Ministère de l'agriculture. Direction de l'agriculture,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k853837t/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,L'Europe et ses descriptions Par P. Du Val geographe du Roy. Avec privilege de Sa Majesté,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4324200/manifest.json
Hohhot,Bibliothèque nationale de France (BnF) / Gallica,La geographie universelle qui fait voir l'estat présent des 4 parties du monde c'est à dire les religions les coutumes & les richesses des peuples les forces & les gouvernements des estats Ce qui est de plus beau & de plus rare dans chaque region & autres particularités pour sçavoir l'histoire & I'interest des princes. On y a joint le traité du globe Par P. Du-Val geographe ordinaire du Roy. Premiere partie,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8726671v/manifest.json
