map_id,title,manifest_url,image_service_url,area_sq_m,scale,bounds,center,viewer_url,editor_url,xyz_tile_url_arcgis,xyz_tile_url_standard,tilejson_url,annotation_url
039645241f897f54,[Hubei Province],https://purl.stanford.edu/sg882cz2213/iiif/manifest,https://stacks.stanford.edu/image/iiif/sg882cz2213%2Fsg882cz2213_00_0001,18496550.40,1.25,"[114.259476, 30.5972, 114.307824, 30.636325]","[114.28365, 30.616762]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/039645241f897f54,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fsg882cz2213%252Fsg882cz2213_00_0001/info.json,https://allmaps.xyz/maps/039645241f897f54/{level}/{col}/{row}.png,https://allmaps.xyz/maps/039645241f897f54/{z}/{x}/{y}.png,https://allmaps.xyz/maps/039645241f897f54/tiles.json,https://annotations.allmaps.org/maps/039645241f897f54
0c15d46cf24caffa,[Hubei Province],https://purl.stanford.edu/ww018tw2419/iiif/manifest,https://stacks.stanford.edu/image/iiif/ww018tw2419%2Fww018tw2419_00_0001,18932881.07,1.23,"[114.25618, 30.566018, 114.307967, 30.601081]","[114.282073, 30.58355]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/0c15d46cf24caffa,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fww018tw2419%252Fww018tw2419_00_0001/info.json,https://allmaps.xyz/maps/0c15d46cf24caffa/{level}/{col}/{row}.png,https://allmaps.xyz/maps/0c15d46cf24caffa/{z}/{x}/{y}.png,https://allmaps.xyz/maps/0c15d46cf24caffa/tiles.json,https://annotations.allmaps.org/maps/0c15d46cf24caffa
0cbc1468345d8991,[Hubei Province],https://purl.stanford.edu/tq568jt0976/iiif/manifest,https://stacks.stanford.edu/image/iiif/tq568jt0976%2Ftq568jt0976_00_0001,20189707.75,1.21,"[114.306954, 30.566088, 114.360788, 30.602061]","[114.333871, 30.584074]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/0cbc1468345d8991,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Ftq568jt0976%252Ftq568jt0976_00_0001/info.json,https://allmaps.xyz/maps/0cbc1468345d8991/{level}/{col}/{row}.png,https://allmaps.xyz/maps/0cbc1468345d8991/{z}/{x}/{y}.png,https://allmaps.xyz/maps/0cbc1468345d8991/tiles.json,https://annotations.allmaps.org/maps/0cbc1468345d8991
0f00f179bae4c574,[Hubei Province],https://purl.stanford.edu/xr727gr0426/iiif/manifest,https://stacks.stanford.edu/image/iiif/xr727gr0426%2Fxr727gr0426_00_0001,16554137.52,1.33,"[114.158265, 30.530814, 114.205574, 30.56602]","[114.181919, 30.548417]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/0f00f179bae4c574,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fxr727gr0426%252Fxr727gr0426_00_0001/info.json,https://allmaps.xyz/maps/0f00f179bae4c574/{level}/{col}/{row}.png,https://allmaps.xyz/maps/0f00f179bae4c574/{z}/{x}/{y}.png,https://allmaps.xyz/maps/0f00f179bae4c574/tiles.json,https://annotations.allmaps.org/maps/0f00f179bae4c574
11f0e54d7352de0b,[Hubei Province],https://purl.stanford.edu/mc686hf7851/iiif/manifest,https://stacks.stanford.edu/image/iiif/mc686hf7851%2Fmc686hf7851_00_0001,19330270.30,1.22,"[114.356677, 30.631239, 114.408843, 30.668941]","[114.38276, 30.65009]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/11f0e54d7352de0b,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fmc686hf7851%252Fmc686hf7851_00_0001/info.json,https://allmaps.xyz/maps/11f0e54d7352de0b/{level}/{col}/{row}.png,https://allmaps.xyz/maps/11f0e54d7352de0b/{z}/{x}/{y}.png,https://allmaps.xyz/maps/11f0e54d7352de0b/tiles.json,https://annotations.allmaps.org/maps/11f0e54d7352de0b
14d87f68443ab66b,[Hubei Province],https://purl.stanford.edu/dk847sj7354/iiif/manifest,https://stacks.stanford.edu/image/iiif/dk847sj7354%2Fdk847sj7354_00_0001,20509777.53,1.19,"[114.255916, 30.663594, 114.31017, 30.701796]","[114.283043, 30.682695]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/14d87f68443ab66b,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fdk847sj7354%252Fdk847sj7354_00_0001/info.json,https://allmaps.xyz/maps/14d87f68443ab66b/{level}/{col}/{row}.png,https://allmaps.xyz/maps/14d87f68443ab66b/{z}/{x}/{y}.png,https://allmaps.xyz/maps/14d87f68443ab66b/tiles.json,https://annotations.allmaps.org/maps/14d87f68443ab66b
1b2747163f8fa041,[Hubei Province],https://purl.stanford.edu/ns700kw5091/iiif/manifest,https://stacks.stanford.edu/image/iiif/ns700kw5091%2Fns700kw5091_00_0001,23946675.39,1.23,"[114.151349, 30.666273, 114.209321, 30.706895]","[114.180335, 30.686584]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/1b2747163f8fa041,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fns700kw5091%252Fns700kw5091_00_0001/info.json,https://allmaps.xyz/maps/1b2747163f8fa041/{level}/{col}/{row}.png,https://allmaps.xyz/maps/1b2747163f8fa041/{z}/{x}/{y}.png,https://allmaps.xyz/maps/1b2747163f8fa041/tiles.json,https://annotations.allmaps.org/maps/1b2747163f8fa041
20b1fa20910fbe80,[Hubei Province],https://purl.stanford.edu/qq949kp0336/iiif/manifest,https://stacks.stanford.edu/image/iiif/qq949kp0336%2Fqq949kp0336_00_0001,14770570.67,1.42,"[114.157903, 30.504759, 114.208051, 30.533461]","[114.182977, 30.51911]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/20b1fa20910fbe80,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fqq949kp0336%252Fqq949kp0336_00_0001/info.json,https://allmaps.xyz/maps/20b1fa20910fbe80/{level}/{col}/{row}.png,https://allmaps.xyz/maps/20b1fa20910fbe80/{z}/{x}/{y}.png,https://allmaps.xyz/maps/20b1fa20910fbe80/tiles.json,https://annotations.allmaps.org/maps/20b1fa20910fbe80
253cdcd996e36c70,[Hubei Province],https://purl.stanford.edu/wf708tj6052/iiif/manifest,https://stacks.stanford.edu/image/iiif/wf708tj6052%2Fwf708tj6052_00_0001,24281159.84,1.10,"[114.257851, 30.627374, 114.315202, 30.668522]","[114.286527, 30.647948]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/253cdcd996e36c70,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fwf708tj6052%252Fwf708tj6052_00_0001/info.json,https://allmaps.xyz/maps/253cdcd996e36c70/{level}/{col}/{row}.png,https://allmaps.xyz/maps/253cdcd996e36c70/{z}/{x}/{y}.png,https://allmaps.xyz/maps/253cdcd996e36c70/tiles.json,https://annotations.allmaps.org/maps/253cdcd996e36c70
26e6a214c781b11f,[Hubei Province],https://purl.stanford.edu/cn505qf9700/iiif/manifest,https://stacks.stanford.edu/image/iiif/cn505qf9700%2Fcn505qf9700_00_0001,16578806.39,1.33,"[114.308337, 30.665559, 114.355753, 30.701964]","[114.332045, 30.683762]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/26e6a214c781b11f,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fcn505qf9700%252Fcn505qf9700_00_0001/info.json,https://allmaps.xyz/maps/26e6a214c781b11f/{level}/{col}/{row}.png,https://allmaps.xyz/maps/26e6a214c781b11f/{z}/{x}/{y}.png,https://allmaps.xyz/maps/26e6a214c781b11f/tiles.json,https://annotations.allmaps.org/maps/26e6a214c781b11f
