map_id,title,manifest_url,image_service_url,area_sq_m,scale,bounds,center,viewer_url,editor_url,xyz_tile_url_arcgis,xyz_tile_url_standard,tilejson_url,annotation_url
f17e60c96e6d681f,495079521,https://iiif.lib.harvard.edu/manifests/ids:495079521,https://ids.lib.harvard.edu/ids/iiif/495079521,27600974.33,1.02,"[113.223174, 23.1057, 113.290235, 23.142386]","[113.256705, 23.124043]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/f17e60c96e6d681f,https://editor.allmaps.org/images?url=https%3A%2F%2Fids.lib.harvard.edu%2Fids%2Fiiif%2F495079521/info.json,https://allmaps.xyz/maps/f17e60c96e6d681f/{level}/{col}/{row}.png,https://allmaps.xyz/maps/f17e60c96e6d681f/{z}/{x}/{y}.png,https://allmaps.xyz/maps/f17e60c96e6d681f/tiles.json,https://annotations.allmaps.org/maps/f17e60c96e6d681f
7730046ecaab32db,5a/ce/a1/5acea14298174ed884e50dad8fe2225b/intermediate_file,,https://iiif-cloud.princeton.edu/iiif/2/5a%2Fce%2Fa1%2F5acea14298174ed884e50dad8fe2225b%2Fintermediate_file,2751145.82,2.34,"[112.777529, 22.246791, 112.796941, 22.259804]","[112.787235, 22.253298]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/7730046ecaab32db,https://editor.allmaps.org/images?url=https%3A%2F%2Fiiif-cloud.princeton.edu%2Fiiif%2F2%2F5a%252Fce%252Fa1%252F5acea14298174ed884e50dad8fe2225b%252Fintermediate_file/info.json,https://allmaps.xyz/maps/7730046ecaab32db/{level}/{col}/{row}.png,https://allmaps.xyz/maps/7730046ecaab32db/{z}/{x}/{y}.png,https://allmaps.xyz/maps/7730046ecaab32db/tiles.json,https://annotations.allmaps.org/maps/7730046ecaab32db
f6640999cca505ea,"BnF, département Cartes et plans, GE C-1248",https://gallica.bnf.fr/iiif/ark:/12148/btv1b530250228/manifest.json,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530250228/f1,11651813.28,2.34,"[113.529616, 22.180165, 113.558745, 22.216737]","[113.544181, 22.198451]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/f6640999cca505ea,https://editor.allmaps.org/images?url=https%3A%2F%2Fgallica.bnf.fr%2Fiiif%2Fark%3A%2F12148%2Fbtv1b530250228%2Ff1/info.json,https://allmaps.xyz/maps/f6640999cca505ea/{level}/{col}/{row}.png,https://allmaps.xyz/maps/f6640999cca505ea/{z}/{x}/{y}.png,https://allmaps.xyz/maps/f6640999cca505ea/tiles.json,https://annotations.allmaps.org/maps/f6640999cca505ea
85dcd093fc1e5198,"BnF, département Cartes et plans, GE SH 18 PF 179 DIV 12 P 3/2",https://gallica.bnf.fr/iiif/ark:/12148/btv1b531334039/manifest.json,https://gallica.bnf.fr/iiif/ark:/12148/btv1b531334039/f1,92710830.56,0.95,"[113.505385, 22.156125, 113.62025, 22.252592]","[113.562817, 22.204359]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/85dcd093fc1e5198,https://editor.allmaps.org/images?url=https%3A%2F%2Fgallica.bnf.fr%2Fiiif%2Fark%3A%2F12148%2Fbtv1b531334039%2Ff1/info.json,https://allmaps.xyz/maps/85dcd093fc1e5198/{level}/{col}/{row}.png,https://allmaps.xyz/maps/85dcd093fc1e5198/{z}/{x}/{y}.png,https://allmaps.xyz/maps/85dcd093fc1e5198/tiles.json,https://annotations.allmaps.org/maps/85dcd093fc1e5198
37ea007ef9b42af3,"Harvard University, Harvard College Library Harvard-Yenching Library, 990131758620203941",https://iiif.lib.harvard.edu/manifests/ids:457735867,https://ids.lib.harvard.edu/ids/iiif/457735867,25524147.45,1.04,"[113.226248, 23.106071, 113.290762, 23.141495]","[113.258505, 23.123783]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/37ea007ef9b42af3,https://editor.allmaps.org/images?url=https%3A%2F%2Fids.lib.harvard.edu%2Fids%2Fiiif%2F457735867/info.json,https://allmaps.xyz/maps/37ea007ef9b42af3/{level}/{col}/{row}.png,https://allmaps.xyz/maps/37ea007ef9b42af3/{z}/{x}/{y}.png,https://allmaps.xyz/maps/37ea007ef9b42af3/tiles.json,https://annotations.allmaps.org/maps/37ea007ef9b42af3
014220118d5608d4,Kanton-shōjō kinbō no zu,https://www.loc.gov/item/92682887/manifest.json,https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7824:g7824g:ct004728,188738401.03,0.58,"[113.2091, 23.043529, 113.375343, 23.14735]","[113.292221, 23.09544]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/014220118d5608d4,https://editor.allmaps.org/images?url=https%3A%2F%2Ftile.loc.gov%2Fimage-services%2Fiiif%2Fservice%3Agmd%3Agmd7%3Ag7824%3Ag7824g%3Act004728/info.json,https://allmaps.xyz/maps/014220118d5608d4/{level}/{col}/{row}.png,https://allmaps.xyz/maps/014220118d5608d4/{z}/{x}/{y}.png,https://allmaps.xyz/maps/014220118d5608d4/tiles.json,https://annotations.allmaps.org/maps/014220118d5608d4
28f5510a9a8abca5,"Kwangtung 1:50,000",https://purl.stanford.edu/qm523xh5793/iiif/manifest,https://stacks.stanford.edu/image/iiif/qm523xh5793%2Fqm523xh5793_00_0001,300669749.44,0.60,"[112.755638, 22.192127, 112.969581, 22.323992]","[112.862609, 22.25806]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/28f5510a9a8abca5,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fqm523xh5793%252Fqm523xh5793_00_0001/info.json,https://allmaps.xyz/maps/28f5510a9a8abca5/{level}/{col}/{row}.png,https://allmaps.xyz/maps/28f5510a9a8abca5/{z}/{x}/{y}.png,https://allmaps.xyz/maps/28f5510a9a8abca5/tiles.json,https://annotations.allmaps.org/maps/28f5510a9a8abca5
7a1afa36f73d463c,"Kwangtung 1:50,000",https://purl.stanford.edu/br117qd2765/iiif/manifest,https://stacks.stanford.edu/image/iiif/br117qd2765%2Fbr117qd2765_00_0001,429024703.39,0.50,"[112.489394, 22.321065, 112.748959, 22.482413]","[112.619177, 22.401739]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/7a1afa36f73d463c,https://editor.allmaps.org/images?url=https%3A%2F%2Fstacks.stanford.edu%2Fimage%2Fiiif%2Fbr117qd2765%252Fbr117qd2765_00_0001/info.json,https://allmaps.xyz/maps/7a1afa36f73d463c/{level}/{col}/{row}.png,https://allmaps.xyz/maps/7a1afa36f73d463c/{z}/{x}/{y}.png,https://allmaps.xyz/maps/7a1afa36f73d463c/tiles.json,https://annotations.allmaps.org/maps/7a1afa36f73d463c
12f58d7bd1fc9254,Plan du bombardement de Canton par les navires anglais COLLBN 002-12-083,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:3181717/manifest,https://iiif.universiteitleiden.nl/iiif/2/hdl:1887.1%252Fitem:3181717,40255377.64,0.16,"[113.204744, 23.091909, 113.294929, 23.143407]","[113.249837, 23.117658]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/12f58d7bd1fc9254,https://editor.allmaps.org/images?url=https%3A%2F%2Fiiif.universiteitleiden.nl%2Fiiif%2F2%2Fhdl%3A1887.1%25252Fitem%3A3181717/info.json,https://allmaps.xyz/maps/12f58d7bd1fc9254/{level}/{col}/{row}.png,https://allmaps.xyz/maps/12f58d7bd1fc9254/{z}/{x}/{y}.png,https://allmaps.xyz/maps/12f58d7bd1fc9254/tiles.json,https://annotations.allmaps.org/maps/12f58d7bd1fc9254
2906147494c27787,RUMSEY~8~1~233197~5509602,,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~233197~5509602,36164901.57,0.56,"[113.504441, 22.166462, 113.560854, 22.235577]","[113.532648, 22.20102]",https://viewer.allmaps.org/?url=https://annotations.allmaps.org/maps/2906147494c27787,https://editor.allmaps.org/images?url=https%3A%2F%2Fwww.davidrumsey.com%2Fluna%2Fservlet%2Fiiif%2FRUMSEY~8~1~233197~5509602/info.json,https://allmaps.xyz/maps/2906147494c27787/{level}/{col}/{row}.png,https://allmaps.xyz/maps/2906147494c27787/{z}/{x}/{y}.png,https://allmaps.xyz/maps/2906147494c27787/tiles.json,https://annotations.allmaps.org/maps/2906147494c27787
